text,meta_category,meta_answer
"Each year this British Columbia city hosts the Symphony of Fire, a 4-day fireworks extravaganza",CANADIAN TOURISM,Vancouver
"The only Republican presidential nominee to lose twice, his running mate the 2nd time was Earl Warren",I GET NO KICK FROM CAMPAIGN,Dewey
"The alternate title to the Anne Rice book ""Ramses the Damned"" mentions one of these previously buried folk",BRING OUT YOUR DEAD,a mummy
"The priest's duty to keep your sins secret is traditionally protected by ""the sanctity of"" this booth",CATHOLIC PRIESTS,the confessional
This last colony in Africa shares part of its name with a desert & is claimed by Morocco,TOUGH GEOGRAPHY,Western Sahara
"The ""Hope""ful, priceless object, seen here, is this type of gem",START SAVING NOW,(the Hope) diamond
Deneb is the brightest star in this constellation whose name means swan,POTPOURRI,Cygnus
"First, get yourself to New York, Chicago or Boston & hop on this Irish airline that first flew on May 27, 1936",IT'S A LONG WAY TO TIPPERARY,Aer Lingus
It's the capital of Montana,IT'S A FACT,Helena
He began monk-ing around with garden peas in 1856,PEA,Gregor Mendel
In the AFC East: The Flight Crew,PRO CHEERLEADER SQUADS,the (New York) Jets
"Born in Germany in 1685, he tuned out April 14, 1759 in London",BORN & DIED,Handel
"Hillsborough, a neutral stadium, was the site of a fatal 1989 stampede at this type of British sporting event",BAD NEWS,soccer match
You can bank on it: FLOWER GALS,ANAGRAMS INC.,Wells Fargo
"Puu Nana is a peak on this island, home to Hawaii's leprosy treatment center",NANA,Molokai
"This landmark in Rio's Guanabara Bay is an axample of an inselberg, or ""island mountain""",GEOLOGY,Sugar Loaf Mountain
"Born just days apart in 1951, in 1976 they opened their first ice cream shop in a renovated gas station in Vermont",FAMOUS PAIRS,Ben & Jerry
"For writing the pamphlet ""The Necessity of Atheism"", this ""Ode to the West Wind"" poet was expelled from Oxford",POETS & POETRY,Percy Shelley
"In 1883 more than 36,000 died following an explosion on this volcanic Indonesian island","""K"" MART",Krakatoa
"What was once chiropody, the health field dealing with the feet, is now more commonly called this",ARCHAIC WORDS,podiatry
"""The Father of the Declaration of Independence""",FAMOUS FATHERS,Thomas Jefferson
"Now with over a hundred chapters, the March of Dimes was first established by this president",ORGANIZATIONS,Franklin Delano Roosevelt
"Richmond kills the title king & ends this play saying, ""Peace lives again: that she may long live here, God say amen!""",SHAKESPEARE'S TRAGIC ENDINGS,Richard III
The British used these cavalry troops in the Sikh & Afghan Wars & to crush the Sepoy Rebellion,SPEARS,Bengal Lancers
"However you draw the border between Nicaragua & this 2-named country, somebody gets mad, huh?","MAPMAKER, MAPMAKER",Costa Rica
"It's a signal at night for soldiers to go to their quarters, or an indelible pattern drawn on the skin","""TOO"" MUCH",a tattoo
"Yes, Bubbe, it's a headscarf worn by Russian women, or a term for a Russian grandmother","""B"" YOUR BEST",a babushka
Get too close to this beloved of Quasimodo & he might just ring your bell,FICTIONAL CHARACTERS,Esmeralda
"(<a href=""http://www.j-archive.com/media/2001-12-20_J_12.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue.</a>)  <a href=""http://www.j-archive.com/media/2001-12-20_J_12a.jpg"" target=""_blank"">This</a> is the spicy treat that fits the category","A ""C.D."" CATEGORY",a chili dog
5-letter word for an explosive used to lend realism to cinematic gunplay,SPECIAL EFFECTS,squib
"Working her way through college as ""Bunny Sue"", she's now working as Dharma's mother-in-law",EX-BUNNIES,Susan Sullivan
